step,p,reward_timestamp,mean_reward,mean_r_pub,mean_r_pri,learning_rate,update_timestamp,update_seconds,kl
37,20,2026-08-15T10:25:21.884+08:00,0.304365,0.304365,0.003205,9.9e-06,2026-08-15T10:25:30.038+08:00,8.148,6.609759330749512
38,20,2026-08-15T10:25:35.940+08:00,0.034419,0.152994,0.128472,9.9e-06,2026-08-15T10:25:44.082+08:00,8.139,7.907494068145752
39,20,2026-08-15T10:25:49.996+08:00,0.120929,0.150303,0.05303,9.9e-06,2026-08-15T10:25:58.150+08:00,8.152,7.480147361755371
40,20,2026-08-15T10:26:04.224+08:00,0.114896,0.248223,0.191667,9.9e-06,2026-08-15T10:26:12.375+08:00,8.146,9.086515426635742
41,20,2026-08-15T10:26:18.304+08:00,0.069994,0.142867,0.085804,9.801e-06,2026-08-15T10:26:26.452+08:00,8.142,3.8786733150482178
42,20,2026-08-15T10:26:32.528+08:00,0.18747,0.404511,0.134821,9.801e-06,2026-08-15T10:26:40.693+08:00,8.162,7.186958312988281
43,20,2026-08-15T10:26:46.610+08:00,0.181187,0.181187,0.011364,9.801e-06,2026-08-15T10:26:54.757+08:00,8.142,7.011573791503906
44,20,2026-08-15T10:27:00.858+08:00,0.121429,0.212829,0.097222,9.801e-06,2026-08-15T10:27:09.030+08:00,8.167,10.606671333312988
45,20,2026-08-15T10:27:15.127+08:00,0.113841,0.235642,0.13734,9.801e-06,2026-08-15T10:27:23.285+08:00,8.154,6.445935249328613
46,20,2026-08-15T10:27:29.246+08:00,0.131539,0.136142,0.008333,9.801e-06,2026-08-15T10:27:37.404+08:00,8.153,10.162879943847656
47,20,2026-08-15T10:27:43.384+08:00,0.098816,0.243056,0.114583,9.801e-06,2026-08-15T10:27:51.547+08:00,8.158,4.957978248596191
48,20,2026-08-15T10:27:58.032+08:00,0.111086,0.118288,0.028646,9.801e-06,2026-08-15T10:28:06.192+08:00,8.155,2.3913052082061768
49,20,2026-08-15T10:28:12.096+08:00,0.031852,0.081852,0.09375,9.801e-06,2026-08-15T10:28:20.245+08:00,8.145,7.63755989074707
50,20,2026-08-15T10:28:26.141+08:00,0.15697,0.219048,0.090774,9.801e-06,2026-08-15T10:28:34.302+08:00,8.155,4.966087341308594
51,20,2026-08-15T10:28:40.259+08:00,0.040837,0.124167,0.104167,9.801e-06,2026-08-15T10:28:48.415+08:00,8.152,7.158310413360596
52,20,2026-08-15T10:28:54.460+08:00,0.023367,0.023367,0.0,9.801e-06,2026-08-15T10:29:02.623+08:00,8.159,6.07716178894043
53,20,2026-08-15T10:29:08.615+08:00,0.083417,0.28029,0.167361,9.801e-06,2026-08-15T10:29:16.784+08:00,8.164,3.404879093170166
54,20,2026-08-15T10:29:22.735+08:00,0.150719,0.3171,0.09375,9.801e-06,2026-08-15T10:29:30.897+08:00,8.156,10.193035125732422
55,20,2026-08-15T10:29:36.965+08:00,0.019394,0.137125,0.076096,9.801e-06,2026-08-15T10:29:45.133+08:00,8.163,8.585208892822266
56,20,2026-08-15T10:29:51.114+08:00,0.090378,0.197569,0.083219,9.801e-06,2026-08-15T10:29:59.278+08:00,8.159,7.062935829162598
57,20,2026-08-15T10:30:05.240+08:00,0.201511,0.221963,0.025,9.801e-06,2026-08-15T10:30:13.655+08:00,8.155,3.0243616104125977
58,20,2026-08-15T10:30:19.068+08:00,0.335711,0.3563,0.027778,9.801e-06,2026-08-15T10:30:27.213+08:00,8.14,4.351492881774902
59,20,2026-08-15T10:30:32.688+08:00,0.07497,0.115282,0.055556,9.801e-06,2026-08-15T10:30:40.856+08:00,8.161,9.982297897338867
60,20,2026-08-15T10:30:46.307+08:00,0.047529,0.178892,0.1375,9.801e-06,2026-08-15T10:30:54.469+08:00,8.157,3.1907174587249756
61,20,2026-08-15T10:30:59.979+08:00,0.00372,0.134635,0.188616,9.70299e-06,2026-08-15T10:31:08.150+08:00,8.166,3.7015912532806396
62,20,2026-08-15T10:31:13.744+08:00,0.154432,0.217018,0.059341,9.70299e-06,2026-08-15T10:31:21.907+08:00,8.158,6.041241645812988
63,20,2026-08-15T10:31:27.452+08:00,0.130795,0.292837,0.177083,9.70299e-06,2026-08-15T10:31:35.611+08:00,8.153,5.565247535705566
64,20,2026-08-15T10:31:41.122+08:00,0.107955,0.230506,0.125,9.70299e-06,2026-08-15T10:31:49.266+08:00,8.139,10.161052703857422
65,20,2026-08-15T10:31:54.690+08:00,0.087935,0.087935,0.0,9.70299e-06,2026-08-15T10:32:02.857+08:00,8.162,6.648488998413086
66,20,2026-08-15T10:32:08.413+08:00,0.172039,0.235258,0.047917,9.70299e-06,2026-08-15T10:32:16.574+08:00,8.156,6.241282939910889
67,20,2026-08-15T10:32:22.113+08:00,0.108102,0.164226,0.049107,9.70299e-06,2026-08-15T10:32:30.283+08:00,8.164,7.14984655380249
68,20,2026-08-15T10:32:35.847+08:00,0.266873,0.340211,0.091146,9.70299e-06,2026-08-15T10:32:44.003+08:00,8.153,3.9781503677368164
69,20,2026-08-15T10:32:49.536+08:00,0.025002,0.066782,0.052083,9.70299e-06,2026-08-15T10:32:57.696+08:00,8.155,6.870013236999512
70,20,2026-08-15T10:33:03.201+08:00,0.057219,0.21598,0.170625,9.70299e-06,2026-08-15T10:33:11.364+08:00,8.157,6.947788715362549
71,20,2026-08-15T10:33:16.928+08:00,0.166399,0.261634,0.151786,9.70299e-06,2026-08-15T10:33:25.092+08:00,8.16,9.250287055969238
72,20,2026-08-15T10:33:30.636+08:00,0.047913,0.170255,0.223065,9.70299e-06,2026-08-15T10:33:38.823+08:00,8.184,9.508929252624512
73,20,2026-08-15T10:33:44.512+08:00,0.14152,0.299491,0.157967,9.70299e-06,2026-08-15T10:33:52.680+08:00,8.165,7.770954132080078
74,20,2026-08-15T10:33:58.254+08:00,0.134038,0.18701,0.06369,9.70299e-06,2026-08-15T10:34:06.415+08:00,8.158,11.335325241088867
75,20,2026-08-15T10:34:11.939+08:00,0.04517,0.130019,0.211806,9.70299e-06,2026-08-15T10:34:20.102+08:00,8.158,12.389127731323242
76,20,2026-08-15T10:34:25.616+08:00,0.113961,0.156042,0.095139,9.70299e-06,2026-08-15T10:34:33.783+08:00,8.164,9.239212989807129
77,20,2026-08-15T10:34:39.355+08:00,0.048926,0.165131,0.10303,9.70299e-06,2026-08-15T10:34:47.521+08:00,8.161,8.780505180358887
78,20,2026-08-15T10:34:53.030+08:00,0.272152,0.450562,0.104167,9.70299e-06,2026-08-15T10:35:01.193+08:00,8.157,9.389690399169922
79,20,2026-08-15T10:35:06.689+08:00,0.040037,0.146322,0.159943,9.70299e-06,2026-08-15T10:35:14.854+08:00,8.161,11.194512367248535
80,20,2026-08-15T10:35:20.360+08:00,0.118649,0.225431,0.15625,9.70299e-06,2026-08-15T10:35:28.514+08:00,8.148,10.424510955810547
81,20,2026-08-15T10:35:34.087+08:00,0.077591,0.106272,0.10073,9.6059601e-06,2026-08-15T10:35:42.257+08:00,8.165,13.504226684570312
82,20,2026-08-15T10:35:47.831+08:00,0.082187,0.233017,0.246667,9.6059601e-06,2026-08-15T10:35:55.994+08:00,8.158,7.346897125244141
83,20,2026-08-15T10:36:01.965+08:00,0.056864,0.2247,0.145833,9.6059601e-06,2026-08-15T10:36:10.125+08:00,8.155,13.934985160827637
84,20,2026-08-15T10:36:15.668+08:00,0.091984,0.198214,0.133929,9.6059601e-06,2026-08-15T10:36:23.832+08:00,8.159,7.921277046203613
85,20,2026-08-15T10:36:29.386+08:00,0.041814,0.116283,0.066288,9.6059601e-06,2026-08-15T10:36:37.549+08:00,8.159,2.8859493732452393
86,20,2026-08-15T10:36:43.178+08:00,0.083773,0.171335,0.098958,9.6059601e-06,2026-08-15T10:36:51.332+08:00,8.15,2.441249370574951
87,20,2026-08-15T10:36:56.910+08:00,0.078114,0.14478,0.086694,9.6059601e-06,2026-08-15T10:37:05.060+08:00,8.145,8.823076248168945
88,20,2026-08-15T10:37:10.550+08:00,0.0824,0.146324,0.122917,9.6059601e-06,2026-08-15T10:37:18.694+08:00,8.139,6.125002384185791
89,20,2026-08-15T10:37:24.188+08:00,0.081298,0.164069,0.059028,9.6059601e-06,2026-08-15T10:37:32.342+08:00,8.15,8.277701377868652
90,20,2026-08-15T10:37:37.965+08:00,0.013086,0.347917,0.447917,9.6059601e-06,2026-08-15T10:37:46.112+08:00,8.144,7.590621471405029
91,20,2026-08-15T10:37:51.807+08:00,0.005002,0.16089,0.132784,9.6059601e-06,2026-08-15T10:37:59.973+08:00,8.16,6.102567672729492
92,20,2026-08-15T10:38:05.467+08:00,0.078685,0.210593,0.154167,9.6059601e-06,2026-08-15T10:38:13.594+08:00,8.122,3.284273147583008
93,20,2026-08-15T10:38:19.154+08:00,0.021096,0.201794,0.160417,9.6059601e-06,2026-08-15T10:38:27.318+08:00,8.158,10.148638725280762
94,20,2026-08-15T10:38:32.848+08:00,0.044788,0.23508,0.14375,9.6059601e-06,2026-08-15T10:38:41.002+08:00,8.149,4.342909336090088
95,20,2026-08-15T10:38:46.501+08:00,0.00449,0.211977,0.225,9.6059601e-06,2026-08-15T10:38:54.661+08:00,8.155,6.646620273590088
96,20,2026-08-15T10:39:00.200+08:00,0.054516,0.148645,0.119118,9.6059601e-06,2026-08-15T10:39:08.365+08:00,8.16,4.860854148864746
97,20,2026-08-15T10:39:13.929+08:00,0.152877,0.216511,0.151096,9.6059601e-06,2026-08-15T10:39:22.094+08:00,8.162,4.408164024353027
98,20,2026-08-15T10:39:27.661+08:00,0.006504,0.13711,0.230835,9.6059601e-06,2026-08-15T10:39:35.821+08:00,8.155,7.510451316833496
99,20,2026-08-15T10:39:41.372+08:00,0.008965,0.1809,0.193091,9.6059601e-06,2026-08-15T10:39:49.521+08:00,8.144,4.894114017486572
100,20,2026-08-15T10:39:55.118+08:00,0.073968,0.266428,0.228618,9.6059601e-06,2026-08-15T10:40:03.287+08:00,8.164,4.330689430236816
101,20,2026-08-15T10:40:08.831+08:00,0.051359,0.140864,0.055357,9.5099005e-06,2026-08-15T10:40:17.009+08:00,8.173,3.3733696937561035
102,20,2026-08-15T10:40:22.616+08:00,0.040268,0.071748,0.086022,9.5099005e-06,2026-08-15T10:40:30.789+08:00,8.168,4.429983615875244
103,20,2026-08-15T10:40:36.340+08:00,0.130706,0.158482,0.078125,9.5099005e-06,2026-08-15T10:40:44.511+08:00,8.166,5.092495441436768
104,20,2026-08-15T10:40:50.115+08:00,0.059009,0.209871,0.205357,9.5099005e-06,2026-08-15T10:40:58.278+08:00,8.159,7.826068878173828
105,20,2026-08-15T10:41:03.773+08:00,0.101749,0.187729,0.107846,9.5099005e-06,2026-08-15T10:41:11.941+08:00,8.162,3.0759029388427734
106,20,2026-08-15T10:41:17.379+08:00,0.181844,0.383234,0.196236,9.5099005e-06,2026-08-15T10:41:25.525+08:00,8.141,1.9241113662719727
107,20,2026-08-15T10:41:31.067+08:00,0.048847,0.12596,0.121937,9.5099005e-06,2026-08-15T10:41:39.240+08:00,8.166,4.384056091308594
108,20,2026-08-15T10:41:44.765+08:00,0.110755,0.200296,0.203205,9.5099005e-06,2026-08-15T10:41:52.927+08:00,8.157,4.002942085266113
109,20,2026-08-15T10:41:58.541+08:00,0.048326,0.319048,0.345238,9.5099005e-06,2026-08-15T10:42:06.678+08:00,8.132,6.603480339050293
110,20,2026-08-15T10:42:12.367+08:00,0.035934,0.26002,0.241815,9.5099005e-06,2026-08-15T10:42:20.530+08:00,8.158,5.497313022613525
111,20,2026-08-15T10:42:26.149+08:00,0.118092,0.138848,0.098485,9.5099005e-06,2026-08-15T10:42:34.321+08:00,8.167,5.123612880706787
112,20,2026-08-15T10:42:39.954+08:00,0.04771,0.121225,0.162907,9.5099005e-06,2026-08-15T10:42:48.125+08:00,8.166,8.007051467895508
113,20,2026-08-15T10:42:53.663+08:00,0.106069,0.244238,0.072917,9.5099005e-06,2026-08-15T10:43:01.823+08:00,8.155,6.0433349609375
114,20,2026-08-15T10:43:07.393+08:00,0.194465,0.240189,0.032813,9.5099005e-06,2026-08-15T10:43:15.563+08:00,8.148,7.750245094299316
115,20,2026-08-15T10:43:21.125+08:00,0.079047,0.26553,0.21875,9.5099005e-06,2026-08-15T10:43:29.282+08:00,8.153,3.5510497093200684
116,20,2026-08-15T10:43:34.788+08:00,0.177385,0.228177,0.03125,9.5099005e-06,2026-08-15T10:43:42.930+08:00,8.137,4.44918155670166
117,20,2026-08-15T10:43:48.943+08:00,0.098627,0.160307,0.140809,9.5099005e-06,2026-08-15T10:43:57.092+08:00,8.144,3.765838861465454
118,20,2026-08-15T10:44:02.575+08:00,0.108373,0.178906,0.083333,9.5099005e-06,2026-08-15T10:44:10.731+08:00,8.151,5.6833295822143555
119,20,2026-08-15T10:44:16.231+08:00,0.078122,0.107496,0.06875,9.5099005e-06,2026-08-15T10:44:24.408+08:00,8.172,8.5188570022583
120,20,2026-08-15T10:44:30.215+08:00,0.242728,0.36659,0.097222,9.5099005e-06,2026-08-15T10:44:38.371+08:00,8.151,9.485905647277832
121,20,2026-08-15T10:44:43.999+08:00,0.10669,0.241827,0.077083,9.4148015e-06,2026-08-15T10:44:52.163+08:00,8.158,7.635953903198242
122,20,2026-08-15T10:44:57.719+08:00,0.174368,0.234076,0.050287,9.4148015e-06,2026-08-15T10:45:05.872+08:00,8.148,6.973939418792725
123,20,2026-08-15T10:45:11.344+08:00,0.065302,0.112073,0.084586,9.4148015e-06,2026-08-15T10:45:19.494+08:00,8.146,3.6832146644592285
124,20,2026-08-15T10:45:24.995+08:00,0.193759,0.311938,0.108482,9.4148015e-06,2026-08-15T10:45:33.144+08:00,8.144,1.646606683731079
125,20,2026-08-15T10:45:38.660+08:00,0.084695,0.15572,0.07081,9.4148015e-06,2026-08-15T10:45:46.824+08:00,8.159,1.2788115739822388
126,20,2026-08-15T10:45:52.114+08:00,0.162724,0.324614,0.094246,9.4148015e-06,2026-08-15T10:46:00.263+08:00,8.144,1.4526125192642212
127,20,2026-08-15T10:46:05.849+08:00,0.12904,0.228024,0.109848,9.4148015e-06,2026-08-15T10:46:14.015+08:00,8.161,3.561065673828125
128,20,2026-08-15T10:46:19.556+08:00,0.096115,0.341463,0.166667,9.4148015e-06,2026-08-15T10:46:27.704+08:00,8.142,3.191664934158325
129,20,2026-08-15T10:46:33.281+08:00,0.261631,0.276467,0.026268,9.4148015e-06,2026-08-15T10:46:41.441+08:00,8.155,4.378655910491943
130,20,2026-08-15T10:46:47.049+08:00,0.105714,0.278611,0.114583,9.4148015e-06,2026-08-15T10:46:55.208+08:00,8.154,3.7302074432373047
131,20,2026-08-15T10:47:00.782+08:00,0.087892,0.27537,0.10119,9.4148015e-06,2026-08-15T10:47:08.946+08:00,8.159,4.133462905883789
132,20,2026-08-15T10:47:14.454+08:00,0.066765,0.150253,0.120574,9.4148015e-06,2026-08-15T10:47:22.618+08:00,8.158,2.0446832180023193
133,20,2026-08-15T10:47:28.136+08:00,0.111292,0.240282,0.104167,9.4148015e-06,2026-08-15T10:47:36.293+08:00,8.152,2.600679636001587
134,20,2026-08-15T10:47:41.896+08:00,0.219206,0.26984,0.027473,9.4148015e-06,2026-08-15T10:47:49.998+08:00,8.097,0.9197755455970764
135,20,2026-08-15T10:47:55.574+08:00,0.048715,0.177226,0.08356,9.4148015e-06,2026-08-15T10:48:03.740+08:00,8.161,3.9066083431243896
136,20,2026-08-15T10:48:09.299+08:00,0.139062,0.192881,0.056815,9.4148015e-06,2026-08-15T10:48:17.461+08:00,8.157,0.5004493594169617
137,20,2026-08-15T10:48:22.966+08:00,0.13934,0.196231,0.126276,9.4148015e-06,2026-08-15T10:48:31.142+08:00,8.171,1.1032302379608154
138,20,2026-08-15T10:48:36.777+08:00,0.00461,0.164295,0.21875,9.4148015e-06,2026-08-15T10:48:44.952+08:00,8.172,3.2467026710510254
139,20,2026-08-15T10:48:50.547+08:00,0.073872,0.205886,0.133523,9.4148015e-06,2026-08-15T10:48:58.700+08:00,8.149,1.5760200023651123
140,20,2026-08-15T10:49:04.297+08:00,0.023804,0.284406,0.315972,9.4148015e-06,2026-08-15T10:49:12.440+08:00,8.138,2.229017734527588
141,20,2026-08-15T10:49:17.944+08:00,0.014649,0.247978,0.291667,9.3206535e-06,2026-08-15T10:49:26.098+08:00,8.149,3.0670852661132812
142,20,2026-08-15T10:49:31.634+08:00,0.077447,0.202442,0.125,9.3206535e-06,2026-08-15T10:49:39.796+08:00,8.157,5.47485876083374
143,20,2026-08-15T10:49:45.321+08:00,0.094968,0.168452,0.092654,9.3206535e-06,2026-08-15T10:49:53.480+08:00,8.154,3.1964921951293945
144,20,2026-08-15T10:49:59.024+08:00,0.201215,0.229156,0.046296,9.3206535e-06,2026-08-15T10:50:07.184+08:00,8.155,2.622722625732422
145,20,2026-08-15T10:50:12.728+08:00,0.196152,0.196152,0.0,9.3206535e-06,2026-08-15T10:50:20.887+08:00,8.154,0.12528404593467712
146,20,2026-08-15T10:50:26.486+08:00,0.068305,0.086038,0.043527,9.3206535e-06,2026-08-15T10:50:34.648+08:00,8.157,0.22286659479141235
147,20,2026-08-15T10:50:40.191+08:00,0.114971,0.206267,0.130682,9.3206535e-06,2026-08-15T10:50:48.365+08:00,8.168,2.7366385459899902
148,20,2026-08-15T10:50:53.987+08:00,0.039263,0.26979,0.235042,9.3206535e-06,2026-08-15T10:51:02.150+08:00,8.158,1.970992922782898
149,20,2026-08-15T10:51:07.755+08:00,0.065111,0.120982,0.064549,9.3206535e-06,2026-08-15T10:51:15.917+08:00,8.158,5.51903772354126
150,20,2026-08-15T10:51:21.546+08:00,0.187493,0.197909,0.083333,9.3206535e-06,2026-08-15T10:51:29.700+08:00,8.149,0.28842300176620483
151,20,2026-08-15T10:51:35.286+08:00,0.250689,0.325685,0.080357,9.3206535e-06,2026-08-15T10:51:43.775+08:00,8.484,5.159902572631836
152,20,2026-08-15T10:51:49.390+08:00,0.049103,0.049103,0.015625,9.3206535e-06,2026-08-15T10:51:57.552+08:00,8.158,5.90955924987793
153,20,2026-08-15T10:52:03.121+08:00,0.101577,0.136371,0.131733,9.3206535e-06,2026-08-15T10:52:11.279+08:00,8.153,5.495973587036133
154,20,2026-08-15T10:52:16.822+08:00,0.252861,0.252861,0.020833,9.3206535e-06,2026-08-15T10:52:24.992+08:00,8.165,5.690533638000488
155,20,2026-08-15T10:52:30.522+08:00,0.121359,0.224275,0.121591,9.3206535e-06,2026-08-15T10:52:38.688+08:00,8.16,1.2275426387786865
156,20,2026-08-15T10:52:44.216+08:00,0.157939,0.270437,0.1375,9.3206535e-06,2026-08-15T10:52:52.362+08:00,8.141,2.832258701324463
